Date,forward_return_1,return_1,return_3,forward_return_5,return_5,forward_return_10,volatility_5,volatility_10,volatility_20,ADX,ADXR,APO,AROONOSC,BOP,CCI,MOM,RSI,ULTOSC,MA,NATR,TRANGE,forward_return_3
1997-01-27 00:00:00+00:00,0.01229817629296548,0.005721506196407322,0.013567361994403448,0.01773615843500509,0.01373924980954122,0.02702253013488276,0.08691380118560194,0.07134650653845265,0.07048967842769475,33.03395321267785,29.50875111818771,1.1689743910256567,92.85714285714286,0.7066653333333383,129.8560838794818,3.0499960000000073,74.90664615611267,61.16996525715207,0.8786666999999824,0.8149174617776764,0.8000040000000013,0.01857275176585582
1997-01-28 00:00:00+00:00,0.0,0.01229817629296548,0.015100696688775894,0.012066107438016394,0.02646762028675642,0.01884296694214882,0.10369044927197307,0.08648138370817951,0.07859931122074784,35.66324715528255,31.018128204510454,1.309166730769249,100.0,0.6363654132255648,176.28474501637126,4.059997999999993,49.59791646465599,59.58225485680684,0.9670000666666425,0.8785668146917274,2.2200009999999963,0.0020661157024792765
1997-01-29 00:00:00+00:00,0.006198347107438051,0.0,0.018090046581237695,0.02057849586776861,0.026032392097006696,0.01884296694214882,0.1049713799299302,0.08446610881399688,0.0784248582832027,38.10473438770119,31.944020578232482,1.4319870705128324,85.71428571428572,0.0,149.5056039633511,4.230002999999996,49.59791646465599,58.70809626349198,1.044333399999985,0.8158120422137469,0.0,0.005371917355371902
1997-01-30 00:00:00+00:00,-0.004106776180698102,0.006198347107438051,0.01857275176585582,0.0168378069815196,0.021392643155855096,0.020369634496919975,0.09406190965170642,0.07923687070844163,0.07822256058474011,40.787948642512944,33.01183726618588,1.5589739679487309,100.0,-0.3636347107458046,145.42113326571516,0.02999900000000366,49.59791646465599,58.398619934847815,1.0999999999999943,0.8496758828995153,1.6500020000000006,0.005831613963038995
1997-01-31 00:00:00+00:00,0.0032989855670102486,-0.004106776180698102,0.0020661157024792765,0.01567011958762876,0.020193538413016965,0.024742268041237025,0.09988755398611351,0.0884728269698905,0.08016389093660307,43.27950473626671,34.29430359782514,1.6873074358974378,92.85714285714286,-0.6323532115049907,115.0356315816511,3.930000000000007,76.26681328132892,53.75539721837275,1.1666666666666572,0.8723561729951151,1.360000999999997,0.018474210309278316
1997-02-03 00:00:00+00:00,0.006658421592134367,0.0032989855670102486,0.005371917355371902,0.009124537457878557,0.01773615843500509,0.023838889867013657,0.09876550268364326,0.08795873171815483,0.07434294622001257,45.59309253760949,35.73999730483112,1.866986929487183,85.71428571428572,0.34999899999999684,107.83327498091846,3.739998,77.63787664814444,50.158739415715345,1.2296666666666596,0.8660979351962939,1.0,0.017673661854933576
1997-02-04 00:00:00+00:00,0.008410901587546205,0.006658421592134367,0.005831613963038995,0.006696064075584429,0.012066107438016394,0.012575543137151257,0.07164110471813247,0.0873294038287109,0.07121222549886082,47.808608985305746,36.65775127639892,2.0545508717948877,92.85714285714286,0.7764677093357784,107.09924383742892,4.580001999999993,49.59791646465599,57.14241062630536,1.2589999000000205,0.848493043800674,0.8499979999999994,0.005634517439445652
1997-02-05 00:00:00+00:00,0.002510365252414992,0.008410901587546205,0.018474210309278316,-0.0017005344837724978,0.02057849586776861,0.008259810644745569,0.07838412269494292,0.08780349059267376,0.07326801738557619,50.170675576989346,37.692638853073724,2.2276274487179393,100.0,0.6641810871077235,126.98584723521881,0.02999900000000366,49.59791646465599,58.49057021277664,1.3086665000000153,0.8611360485818385,1.379997000000003,-0.005911377535207318
1997-02-06 00:00:00+00:00,-0.005250411827534496,0.002510365252414992,0.017673661854933576,0.003473344019224278,0.0168378069815196,0.005735048326291237,0.07649033331783431,0.08117621654882987,0.07324987177889736,52.39533271685308,39.137105648017794,2.4151918589743673,100.0,0.1692311479281278,119.90953360863422,4.600006000000008,49.59791646465599,59.73552945760451,1.3480001000000073,0.8726299441909943,1.3000030000000038,-0.004200355310169046
1997-02-07 00:00:00+00:00,-0.0031668696197016954,-0.005250411827534496,0.005634517439445652,0.008932180122904088,0.01567011958762876,0.00040596832471018196,0.08361714943638016,0.0871676890885508,0.07731330388646335,52.22859873790462,39.376540753098695,2.561730487179503,100.0,-0.3204747888948457,93.47709874265362,4.300004000000001,76.36989350170211,58.1124415172917,1.3780001666666664,1.01004056489323,0.9700009999999963,0.00105559884603168
1997-02-10 00:00:00+00:00,0.004235882954775505,-0.0031668696197016954,-0.005911377535207318,0.014581304747779411,0.009124537457878557,0.003584188602408167,0.09464513006035566,0.09230462616088007,0.080296803233811,52.073774328881036,39.59887335067381,-0.027205333333540693,92.85714285714286,0.3382345588235268,77.4703339571997,3.2300029999999964,72.38156565475413,56.23767863773927,1.343333699999988,1.0200067728358944,1.3599999999999994,0.0119745925061161
1997-02-11 00:00:00+00:00,0.0,0.004235882954775505,-0.004200355310169046,0.005840371559379998,0.006696064075584429,-0.015249813556536429,0.08820665192810778,0.07627563234233029,0.08036517021109282,51.930008806216286,40.520862812797425,-0.027205333333540693,85.71428571428572,0.43528874739853146,79.78194559218596,2.2799990000000037,74.30813733517648,60.77143501352415,1.320667033333308,0.992403094608769,0.8499989999999968,0.00786827553429803
1997-02-12 00:00:00+00:00,0.00770606755115244,0.0,0.00105559884603168,0.009977311891444796,-0.0017005344837724978,-0.009166101631782109,0.0621350905678584,0.07627563234233029,0.07954070168671333,51.79651224945616,41.470990636383846,-0.027205333333540693,71.42857142857143,0.0,80.3524224295377,2.2799990000000037,74.3081373351765,61.77345740650837,1.2730003666666363,0.9215171592795711,0.0,0.010301784639047629
