Date,Open,High,Low,Close
1996-10-29 19:00:00-05:00,114.370003,114.480003,113.610001,114.18
1996-10-30 19:00:00-05:00,114.18,114.18,114.18,114.18
1996-10-31 19:00:00-05:00,113.5,113.5,113.5,113.5
1996-11-01 19:00:00-05:00,113.5,113.5,113.5,113.5
1996-11-03 19:00:00-05:00,113.279999,113.980003,112.949997,113.879997
1996-11-04 19:00:00-05:00,113.709999,114.330002,113.449997,114.25
1996-11-05 19:00:00-05:00,114.230003,114.68,113.650002,113.949997
1996-11-06 19:00:00-05:00,113.949997,113.949997,113.949997,113.949997
1996-11-07 19:00:00-05:00,111.989998,112.309998,111.349998,111.739998
1996-11-08 19:00:00-05:00,111.739998,111.739998,111.739998,111.739998
1996-11-10 19:00:00-05:00,111.510002,111.959999,110.860001,111.120003
1996-11-11 19:00:00-05:00,111.019997,111.550003,110.879997,111.330002
1996-11-12 19:00:00-05:00,111.349998,111.349998,111.349998,111.349998
1996-11-13 19:00:00-05:00,111.349998,111.349998,111.349998,111.349998
1996-11-14 19:00:00-05:00,111.43,111.519997,110.550003,111.050003
1996-11-15 19:00:00-05:00,111.050003,111.050003,111.050003,111.050003
1996-11-17 19:00:00-05:00,110.879997,111.669998,110.800003,111.400002
1996-11-18 19:00:00-05:00,111.300003,111.800003,111.199997,111.580002
1996-11-19 19:00:00-05:00,111.589996,111.699997,111.25,111.519997
1996-11-20 19:00:00-05:00,111.43,111.870003,111.199997,111.25
1996-11-21 19:00:00-05:00,111.239998,111.699997,111.029999,111.419998
1996-11-22 19:00:00-05:00,111.419998,111.419998,111.419998,111.419998
1996-11-24 19:00:00-05:00,111.419998,111.419998,111.419998,111.419998
1996-11-25 19:00:00-05:00,112.620003,112.779999,112.290001,112.400002
1996-11-26 19:00:00-05:00,112.400002,112.400002,112.400002,112.400002
1996-11-27 19:00:00-05:00,113.120003,113.93,113.050003,113.669998
1996-11-28 19:00:00-05:00,113.75,113.940002,113.349998,113.800003
1996-11-29 19:00:00-05:00,113.800003,113.800003,113.800003,113.800003
1996-12-01 19:00:00-05:00,113.739998,114.790001,113.5,114.519997
1996-12-02 19:00:00-05:00,114.459999,114.599998,112.830002,113.300003
1996-12-03 19:00:00-05:00,113.349998,113.449997,112.900002,113.050003
1996-12-04 19:00:00-05:00,112.849998,113.300003,112.050003,112.25
1996-12-05 19:00:00-05:00,112.300003,113.0,111.730003,112.949997
1996-12-06 19:00:00-05:00,112.949997,112.949997,112.949997,112.949997
1996-12-08 19:00:00-05:00,113.120003,113.480003,112.800003,113.400002
1996-12-09 19:00:00-05:00,113.459999,113.720001,112.959999,113.349998
1996-12-10 19:00:00-05:00,113.099998,113.330002,112.580002,112.879997
1996-12-11 19:00:00-05:00,112.849998,113.57,112.43,113.129997
1996-12-12 19:00:00-05:00,113.040001,114.0,112.639999,113.849998
1996-12-13 19:00:00-05:00,113.849998,113.849998,113.849998,113.849998
1996-12-15 19:00:00-05:00,113.980003,114.290001,113.599998,113.82
1996-12-16 19:00:00-05:00,113.699997,114.150002,113.419998,113.82
1996-12-17 19:00:00-05:00,113.75,113.809998,113.25,113.629997
1996-12-18 19:00:00-05:00,113.400002,114.190002,113.300003,114.010002
1996-12-19 19:00:00-05:00,114.0,114.410004,113.989998,114.25
1996-12-20 19:00:00-05:00,114.25,114.25,114.25,114.25
1996-12-22 19:00:00-05:00,114.150002,114.349998,113.839996,114.050003
1996-12-23 19:00:00-05:00,114.150002,114.5,114.099998,114.400002
1996-12-24 19:00:00-05:00,114.449997,114.690002,114.400002,114.629997
1996-12-25 19:00:00-05:00,114.599998,115.080002,114.400002,114.879997
1996-12-26 19:00:00-05:00,114.75,116.120003,114.699997,115.25
1996-12-27 19:00:00-05:00,115.25,115.25,115.25,115.25
1996-12-29 19:00:00-05:00,115.690002,116.199997,115.5,116.199997
1996-12-30 19:00:00-05:00,116.080002,116.43,115.589996,115.900002
1996-12-31 19:00:00-05:00,115.949997,115.949997,115.75,115.849998
1997-01-01 19:00:00-05:00,116.019997,116.199997,115.279999,115.650002
1997-01-02 19:00:00-05:00,115.669998,116.699997,115.300003,116.410004
1997-01-03 19:00:00-05:00,116.410004,116.410004,116.410004,116.410004
1997-01-05 19:00:00-05:00,116.699997,116.980003,115.349998,115.709999
1997-01-06 19:00:00-05:00,115.690002,116.019997,114.800003,115.220001
1997-01-07 19:00:00-05:00,115.339996,116.0,114.900002,115.849998
1997-01-08 19:00:00-05:00,115.769997,116.449997,115.699997,116.309998
1997-01-09 19:00:00-05:00,116.300003,116.669998,115.199997,116.110001
1997-01-10 19:00:00-05:00,116.110001,116.110001,116.110001,116.110001
1997-01-12 19:00:00-05:00,116.129997,116.540001,115.879997,116.480003
1997-01-13 19:00:00-05:00,116.529999,117.010002,116.199997,116.940002
1997-01-14 19:00:00-05:00,117.07,117.480003,116.699997,116.769997
1997-01-15 19:00:00-05:00,116.769997,117.32,116.220001,116.540001
1997-01-16 19:00:00-05:00,116.639999,117.370003,116.480003,117.32
1997-01-17 19:00:00-05:00,117.32,117.32,117.32,117.32
1997-01-19 19:00:00-05:00,117.379997,118.239998,117.25,117.910004
1997-01-20 19:00:00-05:00,118.050003,118.269997,117.449997,117.879997
1997-01-21 19:00:00-05:00,117.93,117.93,117.93,117.93
1997-01-22 19:00:00-05:00,119.010002,119.800003,118.690002,119.199997
1997-01-23 19:00:00-05:00,118.769997,120.150002,118.349998,118.849998
1997-01-24 19:00:00-05:00,118.849998,118.849998,118.849998,118.849998
1997-01-26 19:00:00-05:00,119.0,119.650002,118.900002,119.529999
1997-01-27 19:00:00-05:00,119.599998,121.75,119.550003,121.0
1997-01-28 19:00:00-05:00,121.0,121.0,121.0,121.0
1997-01-29 19:00:00-05:00,122.349998,122.5,120.849998,121.75
1997-01-30 19:00:00-05:00,122.110001,122.309998,120.949997,121.25
1997-01-31 19:00:00-05:00,121.25,121.25,121.25,121.25
1997-02-02 19:00:00-05:00,121.300003,122.25,121.25,121.650002
1997-02-03 19:00:00-05:00,121.800003,122.5,121.650002,122.459999
1997-02-04 19:00:00-05:00,122.599998,123.839996,122.5,123.489998
1997-02-05 19:00:00-05:00,123.580002,124.0,122.699997,123.800003
1997-02-06 19:00:00-05:00,124.230003,124.720001,121.349998,123.150002
1997-02-07 19:00:00-05:00,123.150002,123.150002,123.150002,123.150002
